epoch,seed,batch_size,time,running_loss,accuracy
0,0,5,219.4613275527954,1718.365247990936,86.8
1,0,5,430.10655975341797,894.2997310627252,84.5
2,0,5,639.9268491268158,655.462554441765,90.4
3,0,5,849.0759148597717,523.6991880484857,93.8
4,0,5,1058.3313705921173,437.3907991433516,93.2
5,0,5,1267.9303493499756,357.6541736240033,94.0
6,0,5,1477.468685388565,270.57625456689857,90.6
7,0,5,1686.8369116783142,269.6515765998047,94.6
8,0,5,1896.0250561237335,224.62661194015527,91.5
9,0,5,2105.2505815029144,215.6467694659368,93.4
10,0,5,2314.432337284088,209.7418848114903,92.8
11,0,5,2523.957132577896,158.60430828330573,94.6
12,0,5,2732.9332916736603,151.71770461971755,94.1
13,0,5,2942.173191308975,116.850498667176,94.7
14,0,5,3151.551322221756,101.26764905528398,92.9
15,0,5,3360.967299222946,133.4132894724462,95.0
16,0,5,3569.9405868053436,88.17746279164567,93.1
17,0,5,3778.9716267585754,77.95325212216994,94.6
18,0,5,3988.1683933734894,70.08982015750371,95.8
19,0,5,4197.165645599365,73.38618491859961,95.3
20,0,5,4406.002933263779,77.72042468365544,93.1
21,0,5,4615.313457489014,121.01616839268536,94.9
22,0,5,4824.353430271149,64.97062148081022,94.4
23,0,5,5033.2590391635895,52.8419273217587,95.2
24,0,5,5242.297422170639,44.70843290972334,95.1
