epoch,seed,time,accuracy
0,0,0.4187965393066406,15.2
1,0,0.8287694454193115,15.85
2,0,1.2347278594970703,16.233333333333334
3,0,1.6823885440826416,16.825
4,0,2.1008729934692383,16.8
5,0,2.523557186126709,16.65
6,0,2.941438913345337,16.542857142857144
7,0,3.4162356853485107,16.6125
8,0,3.876749277114868,16.766666666666666
9,0,4.3012847900390625,16.77
10,0,4.733690023422241,16.754545454545454
11,0,5.206421136856079,16.675
12,0,5.629122972488403,16.76153846153846
13,0,6.034303426742554,16.82857142857143
14,0,6.436928987503052,16.833333333333332
15,0,6.847174167633057,16.83125
16,0,7.251270532608032,16.823529411764707
17,0,7.662625312805176,16.85
18,0,8.07020115852356,16.878947368421052
19,0,8.475757598876953,16.86
20,0,8.882900476455688,16.895238095238096
21,0,9.31311821937561,16.827272727272728
22,0,9.741764783859253,16.817391304347826
23,0,10.162382125854492,16.8875
24,0,10.601444959640503,16.86
